task,policy,seed,score
hard_drift,no_op,17,0.0789
hard_drift,no_op,18,0.0789
hard_drift,no_op,19,0.0789
hard_drift,scripted,0,0.7645
hard_drift,scripted,1,0.7479
hard_drift,scripted,2,0.7645
hard_drift,scripted,3,0.7479
hard_drift,scripted,4,0.7479
hard_drift,scripted,5,0.7590
hard_drift,scripted,6,0.7645
hard_drift,scripted,7,0.7534
hard_drift,scripted,8,0.7479
hard_drift,scripted,9,0.7534
hard_drift,scripted,10,0.7590
hard_drift,scripted,11,0.7534
hard_drift,scripted,12,0.7534
hard_drift,scripted,13,0.7534
hard_drift,scripted,14,0.7479
hard_drift,scripted,15,0.7479
hard_drift,scripted,16,0.7534
hard_drift,scripted,17,0.7590
hard_drift,scripted,18,0.7479
hard_drift,scripted,19,0.7590
